tick,population,births,deaths,moves,absorptions,mean_internal_energy
1,20,0,0,0,0,24.363285220088525
2,20,0,0,1,0,27.804740256924042
3,20,0,0,1,0,30.378940762124007
4,20,0,0,0,0,32.57314335025569
5,20,0,0,0,0,33.81411436490792
6,20,0,0,0,0,34.76411436490792
7,20,0,0,1,0,35.61411436490793
8,20,0,0,0,0,36.764114364907925
9,20,0,0,0,0,37.914114364907924
10,20,0,0,1,0,38.872104142012304
11,20,0,0,0,0,40.02210414201231
12,20,0,0,0,0,41.17210414201231
13,20,0,0,1,0,42.02210414201231
14,20,0,0,0,0,43.172104142012316
15,20,0,0,0,0,44.12210414201232
16,20,0,0,0,0,45.07210414201232
17,21,1,0,0,1,44.21152775429745
18,21,0,0,1,1,45.018670611440314
19,21,0,0,0,1,46.111527754297455
20,21,0,0,0,1,47.204384897154604
21,21,0,0,2,1,48.106765849535556
22,21,0,0,0,1,49.580575373345084
23,21,0,0,0,1,50.95620216726112
24,21,0,0,0,1,52.23953550059446
25,21,0,0,0,1,53.522868833927795
26,21,0,0,0,1,54.80620216726113
27,21,0,0,0,1,55.89568909519327
28,21,0,0,1,1,56.70283195233613
29,20,0,1,0,1,60.68638169192392
30,20,0,0,1,0,61.73638169192393
31,20,0,0,0,0,63.08638169192393
32,20,0,0,0,0,64.43638169192393
33,20,0,0,0,0,65.78638169192394
34,20,0,0,0,0,67.13638169192394
35,20,0,0,0,0,68.48638169192394
36,20,0,0,0,0,69.83638169192395
37,20,0,0,0,0,71.18638169192394
38,20,0,0,0,0,72.53638169192395
39,20,0,0,0,0,73.7321638659794
40,20,0,0,0,0,74.88216386597941
41,20,0,0,0,0,76.03216386597941
42,20,0,0,1,0,76.88216386597942
43,20,0,0,0,0,78.03216386597941
44,20,0,0,1,0,79.08216386597942
45,20,0,0,0,0,80.43216386597942
46,20,0,0,0,0,81.78216386597943
47,20,0,0,0,0,83.13216386597944
48,20,0,0,0,0,84.48216386597943
49,20,0,0,1,0,85.73216386597943
50,20,0,0,0,0,87.28216386597944
51,20,0,0,1,0,88.53216386597944
52,20,0,0,1,0,89.78216386597944
53,20,0,0,0,0,91.33216386597944
54,20,0,0,1,0,92.78216386597944
55,20,0,0,0,0,94.53216386597946
56,20,0,0,0,0,96.28216386597946
57,20,0,0,0,0,97.88216386597945
58,21,1,0,1,1,94.98301320569472
59,21,0,0,0,1,96.64729891998043
