tick,population,births,deaths,moves,absorptions,mean_internal_energy
1,20,0,0,0,0,26.65
2,20,0,0,1,0,28.84510763833007
3,20,0,0,0,0,30.26061730226751
4,20,0,0,0,0,31.550412629956543
5,20,0,0,0,0,33.46242403860059
6,20,0,0,0,0,33.75226439009737
7,20,0,0,0,0,33.86571866226235
8,20,0,0,0,0,34.30386167467884
9,20,0,0,2,0,34.32718889263142
10,20,0,0,0,0,34.53501699396802
11,20,0,0,0,0,35.154757236554325
12,20,0,0,0,0,35.198524903774306
13,20,0,0,0,0,34.886206733197106
14,20,0,0,0,0,34.50120673319711
15,20,0,0,0,0,34.14120673319711
16,20,0,0,2,0,33.781206733197116
17,20,0,0,1,0,33.59620673319712
18,20,0,0,0,0,33.436206733197125
19,20,0,0,2,0,33.30120673319713
20,20,0,0,1,0,33.34633252533293
21,20,0,0,0,0,33.51133252533294
22,20,0,0,1,0,33.586332525332935
23,20,0,0,0,0,33.62201943137883
24,20,0,0,0,0,33.462019431378835
25,20,0,0,0,0,33.48701943137884
26,20,0,0,0,0,33.327019431378844
27,20,0,0,0,0,33.34701943137885
28,20,0,0,0,0,33.16201943137885
29,20,0,0,0,0,32.87201943137885
30,20,0,0,0,0,32.96701943137885
31,20,0,0,0,0,32.95696497220358
32,20,0,0,0,0,32.68196497220358
33,20,0,0,0,0,32.536964972203585
34,20,0,0,1,0,32.42196497220358
35,20,0,0,0,0,32.85196497220359
36,20,0,0,0,0,32.47196497220359
37,20,0,0,0,0,32.26696497220359
38,20,0,0,0,0,32.63196497220359
39,20,0,0,1,0,32.24196497220359
40,20,0,0,0,0,32.39696497220359
41,20,0,0,0,0,32.346964972203594
42,20,0,0,0,0,32.5269649722036
43,20,0,0,0,0,32.16196497220359
44,20,0,0,0,0,32.5069649722036
45,20,0,0,2,0,32.2869649722036
46,20,0,0,1,0,32.1869649722036
47,20,0,0,1,0,32.2169649722036
48,20,0,0,0,0,32.8169649722036
49,20,0,0,0,0,33.226964972203604
50,20,0,0,0,0,33.5269649722036
51,20,0,0,0,0,33.716964972203606
52,20,0,0,0,0,34.46098647032419
53,20,0,0,0,0,34.66092214842368
54,20,0,0,0,0,34.95092214842368
55,20,0,0,0,0,35.19592214842368
56,20,0,0,0,0,35.655922148423684
57,20,0,0,0,0,35.450922148423686
58,20,0,0,0,0,35.55592214842368
59,20,0,0,0,0,35.61092214842368
60,20,0,0,0,0,35.655922148423684
61,20,0,0,0,0,35.50092214842368
62,20,0,0,0,0,35.33092214842368
