tick,population,births,deaths,moves,attacks,mean_internal_energy
1,20,0,0,0,0,26.65
2,20,0,0,1,0,28.840107638330075
3,20,0,0,0,0,30.22061730226751
4,20,0,0,0,0,31.456744680584798
5,20,0,0,0,0,33.245878310765555
6,20,0,0,0,0,33.445718662262344
7,20,0,0,0,0,33.49571866226235
8,20,0,0,0,0,33.842575816642785
9,20,0,0,2,0,33.72873113593196
10,20,0,0,0,0,33.87873113593196
11,20,0,0,0,0,34.267439065977115
12,20,0,0,0,0,34.1712067331971
13,20,0,0,0,0,33.7212067331971
14,20,0,0,0,0,33.271206733197104
15,20,0,0,0,0,32.82120673319711
16,20,0,0,2,0,32.321206733197116
17,20,0,0,1,0,32.04620673319711
18,20,0,0,0,0,31.796206733197113
19,20,0,0,2,0,31.596206733197118
20,20,0,0,1,0,31.426332525332924
21,20,0,0,0,0,31.47633252533293
22,20,0,0,1,0,31.50133252533293
23,20,0,0,0,0,31.342019431378827
24,20,0,0,0,0,31.092019431378827
25,20,0,0,0,0,31.042019431378833
26,20,0,0,0,0,30.792019431378833
27,20,0,0,0,0,30.742019431378832
28,20,0,0,0,0,30.49201943137884
29,20,0,0,0,0,30.04201943137884
30,20,0,0,0,0,30.092019431378837
31,20,0,0,0,0,29.84696497220357
32,20,0,0,0,0,29.39696497220357
33,20,0,0,0,0,29.14696497220357
34,20,0,0,1,0,28.97196497220357
35,20,0,0,0,0,29.321964972203574
36,20,0,0,0,0,28.871964972203575
37,20,0,0,0,0,28.621964972203575
38,20,0,0,0,0,28.871964972203575
39,20,0,0,1,0,28.396964972203573
40,20,0,0,0,0,28.446964972203574
41,20,0,0,0,0,28.296964972203575
42,20,0,0,0,0,28.34696497220358
43,20,0,0,0,0,27.89696497220358
44,20,0,0,0,0,27.941201848899944
45,20,0,0,2,0,27.641201848899943
46,20,0,0,1,0,27.46620184889995
47,20,0,0,1,0,27.391201848899946
48,20,0,0,0,0,27.941201848899947
49,20,0,0,0,0,28.265223347020527
50,20,0,0,0,0,28.475159025120018
51,20,0,0,0,0,28.52515902512002
52,20,0,0,0,0,28.975159025120018
53,20,0,0,0,0,28.925159025120017
54,20,0,0,0,0,29.071726042239554
55,20,0,0,0,0,29.221726042239556
56,20,0,0,0,0,29.571726042239554
57,20,0,0,0,0,29.321726042239554
58,20,0,0,0,0,29.371726042239555
59,20,0,0,0,0,29.21264538203939
60,20,0,0,0,0,29.162645382039397
61,20,0,0,0,0,28.912645382039397
62,20,0,0,0,0,28.662645382039397
63,20,0,0,0,0,28.612645382039396
64,20,0,0,0,0,28.5626453820394
65,20,0,0,1,0,28.287645382039397
66,20,0,0,1,0,28.5126453820394
67,20,0,0,0,0,28.362645382039396
68,19,0,1,0,0,29.910002494339903
69,19,0,0,0,0,30.3021077574978
