tick,population,births,deaths,moves,attacks,mean_internal_energy
1,1,0,0,0,0,49.8
2,1,0,0,0,0,49.599999999999994
3,1,0,0,0,0,49.39999999999999
4,1,0,0,0,0,49.19999999999999
5,1,0,0,0,0,48.999999999999986
6,1,0,0,0,0,48.79999999999998
7,1,0,0,0,0,48.59999999999998
8,1,0,0,0,0,48.39999999999998
9,1,0,0,0,0,48.199999999999974
10,1,0,0,0,0,47.99999999999997
11,1,0,0,0,0,47.79999999999997
12,1,0,0,0,0,47.599999999999966
13,1,0,0,0,0,46.39999999999996
14,1,0,0,0,0,45.19999999999996
15,1,0,0,0,0,43.99999999999996
16,1,0,0,0,0,42.799999999999955
17,1,0,0,0,0,41.59999999999995
18,1,0,0,0,0,40.39999999999995
19,1,0,0,0,0,39.199999999999946
20,1,0,0,0,0,38.99999999999994
21,1,0,0,0,0,38.79999999999994
22,1,0,0,0,0,38.59999999999994
23,1,0,0,0,0,38.399999999999935
24,1,0,0,0,0,38.19999999999993
25,1,0,0,0,0,37.99999999999993
26,1,0,0,0,0,37.799999999999926
27,1,0,0,0,0,37.59999999999992
28,1,0,0,0,0,37.39999999999992
29,1,0,0,0,0,37.19999999999992
30,1,0,0,0,0,36.999999999999915
