tick,population,births,deaths,moves,attacks,mean_internal_energy
1,3,0,0,1,0,49.633333333333326
2,3,0,0,1,0,49.26666666666666
3,3,0,0,2,0,48.73333333333333
4,3,0,0,1,0,48.36666666666665
5,3,0,0,1,0,47.99999999999998
6,3,0,0,2,0,47.46666666666665
7,3,0,0,2,0,46.933333333333316
8,3,0,0,1,0,46.56666666666664
9,3,0,0,1,0,46.19999999999997
10,3,0,0,1,0,45.83333333333331
11,3,0,0,1,0,45.46666666666664
12,3,0,0,1,0,45.099999999999966
13,3,0,0,0,0,44.56666666666663
14,3,0,0,0,0,44.033333333333296
15,3,0,0,0,0,43.499999999999964
16,3,0,0,0,0,42.96666666666662
17,3,0,0,0,0,42.43333333333329
18,3,0,0,0,0,41.56666666666661
19,3,0,0,0,0,40.36666666666661
20,3,0,0,0,0,40.16666666666661
21,3,0,0,0,0,39.966666666666605
22,3,0,0,0,0,39.7666666666666
23,3,0,0,0,0,39.5666666666666
24,3,0,0,0,0,39.366666666666596
25,3,0,0,0,0,39.16666666666659
26,3,0,0,0,0,38.96666666666659
27,3,0,0,0,0,38.76666666666659
28,3,0,0,0,0,38.566666666666585
29,3,0,0,0,0,38.36666666666658
30,3,0,0,0,0,38.16666666666658
31,3,0,0,0,0,37.966666666666576
32,3,0,0,0,0,37.76666666666657
33,3,0,0,0,0,37.56666666666657
34,3,0,0,0,0,37.36666666666657
35,3,0,0,0,0,37.166666666666565
36,3,0,0,0,0,36.96666666666656
37,3,0,0,0,0,36.76666666666656
38,3,0,0,0,0,36.566666666666556
39,3,0,0,0,0,36.36666666666655
40,3,0,0,0,0,36.16666666666655
41,3,0,0,0,0,35.96666666666655
42,3,0,0,0,0,35.766666666666545
43,3,0,0,0,0,35.56666666666654
44,3,0,0,0,0,35.36666666666654
45,3,0,0,0,0,35.166666666666536
46,3,0,0,0,0,34.966666666666534
47,3,0,0,0,0,34.76666666666653
48,3,0,0,0,0,34.56666666666653
49,3,0,0,0,0,34.366666666666525
50,3,0,0,0,0,34.16666666666652
51,3,0,0,0,0,33.96666666666653
52,3,0,0,0,0,33.766666666666524
53,3,0,0,0,0,33.56666666666652
54,3,0,0,0,0,33.366666666666525
55,3,0,0,0,0,33.16666666666652
56,3,0,0,0,0,32.96666666666652
57,3,0,0,0,0,32.76666666666652
58,3,0,0,0,0,32.56666666666652
59,3,0,0,0,0,32.36666666666652
60,3,0,0,0,0,32.16666666666652
61,3,0,0,0,0,31.966666666666516
62,3,0,0,0,0,31.76666666666652
63,3,0,0,0,0,31.566666666666517
64,3,0,0,0,0,31.366666666666518
65,3,0,0,0,0,31.166666666666515
66,3,0,0,0,0,30.966666666666516
67,3,0,0,0,0,30.766666666666513
68,3,0,0,0,0,30.566666666666517
69,3,0,0,0,0,30.366666666666514
70,3,0,0,0,0,30.166666666666515
71,3,0,0,0,0,29.966666666666512
72,3,0,0,0,0,29.766666666666513
73,3,0,0,0,0,29.56666666666651
74,3,0,0,0,0,29.366666666666514
75,3,0,0,0,0,29.16666666666651
76,3,0,0,0,0,28.966666666666512
77,3,0,0,0,0,28.76666666666651
78,3,0,0,0,0,28.56666666666651
79,3,0,0,0,0,28.366666666666507
80,3,0,0,0,0,28.16666666666651
81,3,0,0,0,0,27.966666666666512
82,3,0,0,0,0,27.76666666666651
83,3,0,0,2,0,27.233333333333178
84,3,0,0,1,0,26.866666666666514
85,3,0,0,1,0,26.499999999999847
86,3,0,0,1,0,26.133333333333184
87,3,0,0,1,0,25.766666666666513
88,3,0,0,1,0,25.39999999999985
89,3,0,0,0,0,25.19999999999985
90,3,0,0,1,0,24.833333333333183
91,3,0,0,1,0,24.466666666666516
92,3,0,0,1,0,24.099999999999852
93,3,0,0,1,0,23.73333333333319
94,3,0,0,1,0,23.36666666666652
95,3,0,0,1,0,22.999999999999854
96,3,0,0,1,0,22.633333333333187
97,3,0,0,1,0,22.266666666666524
98,3,0,0,1,0,21.899999999999853
99,3,0,0,1,0,21.53333333333319
100,3,0,0,1,0,21.166666666666526
101,3,0,0,1,0,20.79999999999986
102,3,0,0,2,0,20.266666666666527
103,3,0,0,2,0,19.733333333333192
104,3,0,0,1,0,19.36666666666653
105,3,0,0,1,0,18.99999999999986
106,3,0,0,1,0,18.633333333333194
107,3,0,0,1,0,18.266666666666527
108,3,0,0,1,0,17.899999999999864
109,3,0,0,1,0,17.5333333333332
110,3,0,0,1,0,17.166666666666533
