tick,population,births,deaths,moves,attacks,mean_internal_energy
1,3,0,0,3,0,49.29999999999999
2,3,0,0,3,0,48.599999999999994
3,3,0,0,3,0,47.9
4,3,0,0,3,0,47.19999999999999
5,3,0,0,2,0,48.66666666666665
6,3,0,0,2,0,50.13333333333332
7,3,0,0,2,0,51.59999999999999
8,3,0,0,2,0,52.23333333333331
9,3,0,0,2,0,51.86666666666664
10,3,0,0,2,0,51.49999999999997
11,3,0,0,1,0,51.299999999999976
12,3,0,0,1,0,51.099999999999966
13,3,0,0,0,0,51.06666666666663
14,3,0,0,1,0,50.69999999999996
15,3,0,0,1,0,50.33333333333329
16,3,0,0,1,0,49.799999999999955
17,3,0,0,0,0,49.43333333333328
18,3,0,0,0,0,48.89999999999995
19,3,0,0,0,0,48.36666666666662
20,3,0,0,1,0,47.99999999999994
21,3,0,0,0,0,49.79999999999993
22,3,0,0,0,0,51.59999999999994
23,3,0,0,0,0,53.39999999999994
24,3,0,0,0,0,54.366666666666596
25,3,0,0,0,0,54.33333333333326
26,3,0,0,0,0,54.299999999999926
27,3,0,0,0,0,54.266666666666595
28,3,0,0,0,0,54.233333333333256
29,3,0,0,0,0,54.19999999999991
30,3,0,0,0,0,54.16666666666658
31,3,0,0,0,0,54.13333333333325
32,3,0,0,0,0,54.09999999999991
33,3,0,0,1,0,53.733333333333235
34,3,0,0,0,0,55.53333333333324
35,3,0,0,0,0,56.333333333333236
36,3,0,0,0,0,55.96666666666656
37,3,0,0,0,0,55.59999999999989
38,3,0,0,0,0,55.066666666666556
39,3,0,0,0,0,54.86666666666656
40,3,0,0,0,0,54.66666666666655
41,3,0,0,1,0,54.299999999999876
42,3,0,0,1,0,53.933333333333216
43,3,0,0,1,0,53.56666666666655
44,3,0,0,1,0,53.199999999999875
45,3,0,0,1,0,52.83333333333321
46,3,0,0,1,0,52.466666666666534
47,3,0,0,1,0,52.09999999999987
48,3,0,0,1,0,51.733333333333206
49,3,0,0,1,0,51.36666666666653
50,3,0,0,1,0,50.999999999999865
51,3,0,0,1,0,50.63333333333319
52,3,0,0,1,0,50.26666666666653
53,3,0,0,1,0,49.56666666666653
54,3,0,0,1,0,48.866666666666525
55,3,0,0,1,0,48.16666666666652
56,3,0,0,1,0,47.46666666666653
57,3,0,0,1,0,46.76666666666652
58,3,0,0,1,0,46.06666666666652
59,3,0,0,1,0,45.366666666666525
60,3,0,0,1,0,44.99999999999985
61,3,0,0,0,0,44.79999999999985
62,3,0,0,1,0,44.433333333333174
63,3,0,0,1,0,44.066666666666514
64,3,0,0,1,0,43.69999999999985
65,3,0,0,0,0,43.49999999999984
66,3,0,0,0,0,43.29999999999984
67,3,0,0,0,0,43.099999999999845
68,3,0,0,0,0,42.89999999999984
69,3,0,0,0,0,44.69999999999984
70,3,0,0,0,0,46.49999999999984
71,3,0,0,0,0,46.86666666666657
72,3,0,0,0,0,46.73333333333324
73,3,0,0,0,0,46.59999999999991
74,3,0,0,0,0,46.466666666666576
75,3,0,0,0,0,46.333333333333236
76,3,0,0,0,0,46.13333333333324
77,3,0,0,0,0,45.933333333333245
78,3,0,0,0,0,45.73333333333324
79,3,0,0,0,0,45.53333333333324
80,3,0,0,0,0,45.66666666666658
81,3,0,0,0,0,45.533333333333246
82,3,0,0,0,0,45.33333333333325
83,3,0,0,0,0,45.26666666666657
84,3,0,0,0,0,45.13333333333324
